Time (s),X (g),Y (g),Z (g)
3.173956871,0.002347457,0.006936368,0.01057869
3.178974628,-0.001631155,0.0002684176,0.01355815
3.183992863,0.001053465,-0.00228493,0.008720258
3.189010620,0.002131708,0.002515224,0.01621757
3.194029331,-0.003113393,0.001322718,0.01138518
3.199047089,-0.006643747,-0.0008197265,0.01174824
3.204065323,-0.001119467,0.0006392187,0.01483955
3.209083080,0.001878227,0.005827513,0.01204343
3.214101791,-0.001432065,0.001244847,0.01538207
3.219119549,-0.001805181,0.0002950048,0.01572578
3.224137783,-0.002714389,-0.0001465327,0.01358937
3.229156017,0.0003906453,0.003592523,0.01102151
3.234174252,-0.002339081,0.001600365,0.01204787
3.239192009,-0.005261191,-0.0008227665,0.01636425
3.244210243,-0.0004153764,-0.003328691,0.007974101
3.249228478,-0.001192437,0.004897821,0.01613119
3.254246712,0.002650367,0.003442143,0.01161355
3.259264469,0.001372396,0.006654783,0.0136314
3.264282703,-0.0006203777,0.003216829,0.01148023
3.269300938,-0.002423114,0.001176229,0.014719
3.274319172,-0.003933426,0.002325622,0.01618685
3.279336929,-0.003172198,-0.0003734499,0.01428425
3.284354687,-0.0005544969,-0.006066555,0.01424125
3.289373398,0.0006086249,0.001280354,0.01337905
3.294391632,-0.0014878,-0.001881856,0.01591551
3.299409390,-0.00311202,0.0002605817,0.01463504
3.304427147,2.038013E-05,-0.0005715112,0.01708937
3.309445858,-0.0006143088,0.006325115,0.01447307
3.314464092,0.001141726,0.0001145559,0.0148898
3.319481850,-0.006522726,0.0005167011,0.01182936
3.324499607,0.003086599,-0.001390391,0.01954434
3.329518318,-0.001549396,-0.002159039,0.01122827
3.334536553,-0.001730151,-0.003512177,0.01207517
3.339554310,-0.002855667,-0.004613142,0.02058805
3.344572067,-0.002289016,-0.0008794004,0.0133586
3.349590778,-0.0008815862,-0.001411417,0.01545659
3.354608536,-0.002983974,0.0008182691,0.01800869
3.359626770,-0.002017476,0.001385398,0.01538215
3.364644528,-0.001450857,0.001152572,0.01673996
3.369663239,-0.001633693,-0.008508782,0.01500501
3.374680996,-0.001354065,0.0004571378,0.01577009
3.379699230,2.844818E-05,0.01137814,0.01046806
3.384716988,-0.003028088,0.006408154,0.02054608
3.389735699,-0.004820406,-0.0009174274,0.01016958
3.394753456,-0.001026738,0.006649002,0.01544477
3.399771690,0.0009578899,0.002863756,0.01269354
3.404789448,0.0008338052,0.005624112,0.01742831
3.409808159,0.003548174,0.001319846,0.01394277
3.414825916,-0.0003756396,0.001615272,0.01713677
3.419844151,0.002292024,0.003975031,0.01239537
3.424861908,-0.007593071,0.006059526,0.01153281
3.429880619,0.0002064924,-0.0009426258,0.01004324
3.434898377,0.0028604,0.0005893442,0.02373743
3.439916611,0.0004474713,-0.004819866,0.00701093
3.444934368,-0.001257357,0.0004998911,0.01298363
3.449953079,-0.001905,-0.00351043,0.02133452
3.454970837,-0.001913055,-0.00698576,0.008967116
3.459989071,0.004037668,0.007371119,0.01566945
3.465006828,-0.003075664,0.004817785,0.02127595
3.470025540,-0.005448158,-0.0001666984,0.007069195
3.475043297,-0.0008751689,0.0009871223,0.01167042
3.480061531,0.00840835,0.0003351248,0.01249789
3.485079765,-0.00606899,0.006883978,0.01692575
3.490098000,-0.006594689,-0.009467439,0.01923702
3.495115757,0.0009988444,-0.001686798,0.01240966
3.500133515,0.003716752,0.008226562,0.01768531
3.505152226,-0.001595577,0.004775632,0.02008385
3.510170460,-0.007014726,-0.000656427,0.01352763
3.515188217,0.0004163787,-0.01202971,0.009896883
3.520205975,0.004959315,0.0002406265,0.01081294
3.525224686,-0.001770577,0.009287661,0.01246738
3.530242920,-0.005034004,0.0005086504,0.01710718
3.535260677,0.002769443,-0.008648775,0.01185774
3.540278435,0.002342889,0.009571414,0.01845921
3.545297146,-0.0006982917,0.01047844,0.01383484
3.550315380,-0.008429466,-0.007973031,0.01283772
3.555333138,-0.003513602,0.002358992,0.01084781
3.560350895,0.003570458,0.005421484,0.01764159
3.565371037,-0.004816502,-0.00188082,0.01896075
3.570387840,-0.003170458,-0.01083655,0.01162032
3.575405598,0.001754014,0.006489481,0.007252691
3.580423355,0.00310532,0.007821514,0.01788026
3.585442066,-0.002774798,0.01077077,0.01773939
3.590459824,-0.006033812,-0.009833767,0.0136586
3.595478058,0.0009725254,-0.005020338,0.01286569
3.600495815,0.0009210003,0.006141909,0.009185507
3.605514527,-4.293583E-05,0.001285608,0.01311396
3.610532284,-0.002127047,0.0001508708,0.01317498
3.615550518,-0.0003797254,-0.004767174,0.01231612
3.620568276,-0.001625076,0.005028294,0.01567429
3.625586987,-0.001025474,0.006688488,0.01091964
3.630604744,0.0002388246,-6.250548E-05,0.0200067
3.635622978,-0.002740313,0.001620313,0.01677906
3.640640736,0.0008932389,-0.00347713,0.0141107
3.645659447,-0.002264803,-0.005137196,0.01160587
3.650677204,0.002291103,-0.0006441211,0.01610496
3.655695439,-0.001647703,0.007389614,0.01312796
3.660713196,-0.0001309195,0.003677917,0.007971539
3.665731907,0.004271327,-0.0006155341,0.01576903
3.670749664,-0.003462731,-0.001278267,0.01242584
3.675767899,-0.003911603,-0.003745729,0.01256934
3.680785656,0.002734717,-0.0010459,0.01703581
3.685804367,0.001067184,0.0003284311,0.01435827
3.690822124,-0.004083145,0.002779317,0.01088823
3.695840359,0.003242071,0.003397202,0.01442163
3.700858116,-0.0007548318,0.001674382,0.01489426
3.705876827,0.001559843,0.003172068,0.01413947
3.710894585,-0.004242596,0.004757514,0.0116313
3.715912819,-0.00258297,0.0004383427,0.01174074
3.720930576,0.002407442,0.002503832,0.01600158
3.725949287,-0.00149404,0.0005156795,0.01178633
3.730967045,-0.002335853,0.003765529,0.0110196
3.735984802,0.0005758274,0.003015291,0.01409392
3.741003513,-0.004599099,0.0001765338,0.01424571
3.746021748,-0.004449259,0.000298523,0.01207793
3.748530388,-0.002554699,0.003387992,0.009118544
3.753548622,-3.835186E-05,0.005409109,0.01131068
3.761075973,-0.003058986,-0.003458306,0.01272977
3.763584614,0.000990493,-0.001457168,0.01113411
3.768602848,0.004837492,0.002251901,0.01399999
3.773621082,-0.0007754322,0.005133825,0.01324228
3.778639317,0.0007304125,0.002383622,0.01676572
3.783657074,-0.004471423,-0.002554411,0.0131508
3.788675308,-0.003054059,0.004377338,0.01280001
3.793693542,0.001351933,0.001257234,0.0156799
3.798711777,-0.002585708,0.0006445107,0.0138336
3.803729534,-0.002562767,0.001417035,0.01263597
3.808747768,-0.001412218,0.003904573,0.01532559
3.813766003,0.001538642,0.001770009,0.01603159
3.818784237,-0.004929437,-0.003328906,0.01194424
3.823801994,0.002763255,0.002418554,0.01642882
3.828819752,-0.0005362569,0.0006252199,0.01609243
3.833838463,-0.002910592,0.003761885,0.01547187
3.838856697,-0.003284354,0.003145588,0.01209699
3.843874454,0.0003969064,-0.002350836,0.01573688
3.848892212,-0.002767973,-0.00284409,0.008317834
3.853910923,-0.0007984443,-0.0005243924,0.01538843
3.858929157,-0.001198431,-0.003594478,0.01196522
3.863946915,-0.002585678,0.002266964,0.01248517
3.868964672,-0.0006076861,-6.882194E-05,0.01833626
3.873983383,-0.001248661,0.0009767144,0.01318495
3.879001617,-0.001118253,-0.0026338,0.01224099
3.884019375,-0.0001340997,0.001352803,0.01210848
3.889038086,0.0001517604,0.003805773,0.01777618
3.894055843,-0.002191716,-0.0006204657,0.01596176
3.899073601,0.00202588,0.005550983,0.009853917
3.904091835,-0.004667704,0.002680732,0.01638757
3.909110546,-0.001672718,0.001646772,0.01477434
3.914128304,-0.0007947721,0.005390006,0.01316836
3.919146061,0.001624616,0.002888562,0.008949904
3.924164295,0.0009284536,0.00339513,0.01227912
3.929183006,0.001202003,0.0037369,0.01418041
3.934200764,-0.0008311807,0.003354523,0.01563826
3.939218521,-0.003385724,-0.0006474631,0.01332092
3.944236755,0.001306939,-0.005996317,0.01441111
3.949255466,-0.002975118,0.0002996,0.01557417
3.954273224,0.001477435,-0.00303797,0.01117064
3.959290981,-0.002669396,-0.003179365,0.01505768
3.964309216,-0.002135442,0.002860297,0.01264504
3.969327927,-0.006513081,0.001904765,0.01470688
3.974345684,0.001129388,0.0006101944,0.01532824
3.979363441,-0.0003075297,0.001126392,0.01323017
3.984381676,0.0008237092,-0.004792909,0.009687581
3.989399910,-0.001357439,0.004597449,0.01091454
3.994418144,0.003219987,0.002084118,0.02038325
3.999435902,-0.001782815,0.002054255,0.01365164
4.004454136,0.00206551,0.004880344,0.01407446
4.009472370,-0.001205025,0.001364881,0.01508595
4.014490604,-0.003893883,-0.001102419,0.01618283
4.019508362,-0.001662263,0.002179595,0.01407948
4.024526596,0.00272145,0.001112977,0.01448916
4.029544830,-0.004388443,0.001403574,0.01642238
4.034563065,0.000964256,0.004699558,0.01298274
4.039580822,-0.003155741,0.002421283,0.01569802
4.044599056,0.0002488699,-0.002610925,0.01624103
4.049617291,-0.00144254,0.0001412886,0.01852715
